folder,channel_title,handle,author,my_characteristic
Career Hub,Завтра в прод | Таня и финтех,@prodtomorrow,@tauta_inka (Таня),"Удобный канал для «захода по наитию»: короткие посты и видосы с микро-наблюдениями. Ценность — регулярные визуальные находки/референсы и короткая структурная подача. Есть «дизайн-бурчание» (реакции на то, что не нравится) и иногда гайды/чек-листы, но они уже на более вдумчивое чтение."
Career Hub,IT-Франшуженка,@sshultse,@shultsee (Ева-София Мелехова),"Сильный комьюнити-вайб: UX-дизайнер с бэкграундом разработчика, много про людей и среду. Делится наблюдениями/находками, двигает активности, периодически делает коллаборации. Впечатление — заряженный человек, который развивает комьюнити и делится опытом взаимодействия с ним."
Career Hub,pxPerson выдал,@pxPerson_produced,@pxPerson (Макс),"Канал «пути молодого дизайнера»: как он растёт через связи, эксперименты и наблюдения. Показывает неочевидные детали в сервисах, делится находками, работами, успехами и неудачами. Интересно смотреть траекторию развития и ловить отклик на свой путь."
Career Hub,Последний дизайнер,@nix_ux_view,@nixyaka (Виталик Унанян),"«Канал живого человека»: личный голос, рефлексия, наблюдения и комментарии про работу/профессию. Есть мемы, артефакты, заметки про то, как устроена его профессиональная жизнь. Не учебник, а регулярный поток человеческих наблюдений."
Career Hub,Тултип | UX UI,@tooltipp,@gorba4evgenii (Евгений),"Обзоры продуктов и разборы «как что устроено», база знаний/подборки и находки. При этом формат «полезных подборочек» может выглядеть элитарно и не всегда держит авторскую позицию — тебе важнее, когда есть точка зрения и мышление автора, чтобы это запускало собственные размышления."
Career Hub,true°redörescue,@trueredorescue,@redorescue (Елизавета),"Лайфстайл-наблюдение за дизайнером в бигтехе (Яндекс.Еда): путь, опыт, кейсы. Ценно как способ понять, как живёт дизайнер в бигтех-среде: ритм, команда, люди, внутренняя кухня. Есть ощущение, что можно поизучать посты, поспрашивать и вести диалог."
Career Hub,Дизайн диктатура,@DesignDictatorship,@berchikk (Маргарита Романова),"Туториалы/гайды по прототипированию, опыт с портфолио/сайтом, делится тем, чем живёт в профсреде. Интересно следить за подходом и тем, какие вещи автор считает важными — можно вдохновляться процессом."
Career Hub,дизайн овчарка,@dsgn_thinking,@ezzzz12345 (Влад),"Канал про продуктовый майндсет и несколько проектов, не только «дизайн-посты». Запомнился проектом про чеченский язык (поиск идентичности, поддержка языка и культуры). Были сложности с командой, но продолжал и развивал дальше. Активно в вайб-кодинге, делится подходами/лайфхаками, участвует в телеграм-комьюнити. Плюс опыт Альфа-банка и кейсы внедрения решений в процесс. Полезно тем, кто хочет вырасти в специалиста в области продуктов."
Career Hub,v.isuaaals,@visuaaaals,@valeryteta (Валерия Тета),"Мультидисциплинарный дизайнер с сильным бэкграундом; много про вкус/стиль и визуальные референсы. Короткие удобные посты с хорошей структурой, «без многоуровневых гайдов». Ценность — насмотренность, примеры красивых интерфейсов/приёмов и понятная подача."
Career Hub,Иван Кунцевич | Альфа-…,@kuntsevich_design,@Johnny_Kunts (Иван Кунцевич),"Якорь — разбор/мысли про дизайн главной Альфа-Банка: интересно заходить «посмотреть, какие мысли у человека». Плюс мемчики добавляют человеческий тон и лёгкость."
Career Hub,Лёша Груздев про дизайн…,@lx_grzdv_links,ты (@lx_grzdv),"Наблюдения и размышления о своём пути: с чем работаешь и сталкиваешься, короткие заметки, иногда грусть. Фокус на «через человека», а не только советы: как личность проявляется в профдеятельности и как с этим живёт. Параллельно — событийная оптика (Design Fishes) и лайфстайл-формат."
Career Hub,Жюли | Дизайн и продукт,@yuliapohilko,@yuspohilko (Юлия Похилко),"Лайфстайл продуктового дизайнера в финтехе: жизнь в продукте, насмотренность, находки (в т.ч. из Pinterest), референсы, статьи. Делится карьерным опытом (как получила работу, как развивается) и «неочевидными» наблюдениями."
